student_id,school_year,attendance_rate,chronic_absenteeism_flag,average_assessment_score,basic_or_below_count,failed_course_count,average_final_grade,at_risk_flag,risk_due_to_attendance,risk_due_to_assessment,risk_due_to_course_failure
STU00386,2023,0.891,1,62.25,4,2,64.5,1,1,1,1
STU00386,2024,0.895,1,73.75,1,0,72.0,1,1,1,0
STU00386,2025,0.983,0,72.5,2,0,74.25,1,0,1,0
STU00387,2023,0.928,0,73.0,1,1,67.5,1,0,1,1
STU00387,2024,0.977,0,72.0,2,0,71.25,1,0,1,0
STU00387,2025,0.892,1,66.5,3,1,67.25,1,1,1,1
STU00388,2023,0.943,0,65.5,2,1,63.25,1,0,1,1
STU00388,2024,0.893,1,69.5,1,1,74.75,1,1,1,1
STU00388,2025,0.898,1,71.5,2,1,70.0,1,1,1,1
STU00389,2023,0.994,0,80.0,0,0,80.75,0,0,0,0
STU00389,2024,0.948,0,75.75,1,0,75.75,1,0,1,0
STU00389,2025,,0,85.25,0,0,86.0,0,0,0,0
STU00390,2023,0.956,0,80.0,0,0,80.75,0,0,0,0
STU00390,2024,0.933,0,70.25,1,1,67.75,1,0,1,1
STU00390,2025,0.972,0,80.75,0,0,81.5,0,0,0,0
STU00391,2023,0.911,0,73.25,1,0,76.25,1,0,1,0
STU00391,2024,0.922,0,71.5,1,0,66.75,1,0,1,0
STU00391,2025,0.918,0,71.25,2,0,68.75,1,0,1,0
STU00392,2023,0.977,0,73.75,1,1,77.0,1,0,1,1
STU00392,2024,0.888,1,80.0,1,1,80.5,1,1,1,1
STU00392,2025,0.955,0,78.75,0,0,74.5,0,0,0,0
STU00393,2023,0.924,0,62.5,3,1,63.25,1,0,1,1
STU00393,2024,0.881,1,64.75,3,1,66.25,1,1,1,1
STU00393,2025,0.875,1,66.25,4,1,61.0,1,1,1,1
STU00394,2023,0.876,1,68.75,1,1,74.75,1,1,1,1
STU00394,2024,0.908,0,63.5,4,1,61.5,1,0,1,1
STU00394,2025,0.905,0,54.25,4,3,52.25,1,0,1,1
STU00395,2023,0.817,1,56.25,4,3,56.75,1,1,1,1
STU00395,2024,0.944,0,61.25,3,2,63.25,1,0,1,1
STU00395,2025,0.897,1,64.25,2,1,69.0,1,1,1,1
STU00396,2023,0.921,0,75.25,1,0,78.5,1,0,1,0
STU00396,2024,0.838,1,64.25,3,1,60.25,1,1,1,1
STU00396,2025,0.983,0,76.75,1,0,80.25,1,0,1,0
STU00397,2023,0.919,0,74.25,1,1,66.66666666666667,1,0,1,1
STU00397,2024,0.855,1,66.25,3,1,63.5,1,1,1,1
STU00397,2025,0.88,1,75.25,1,1,74.25,1,1,1,1
STU00398,2023,0.926,0,62.5,3,2,58.25,1,0,1,1
STU00398,2024,0.855,1,65.0,4,1,68.0,1,1,1,1
STU00398,2025,0.901,0,55.5,3,3,59.5,1,0,1,1
STU00399,2023,0.88,1,65.0,3,3,58.75,1,1,1,1
STU00399,2024,0.917,0,78.25,1,1,68.5,1,0,1,1
STU00399,2025,0.939,0,77.5,1,0,78.75,1,0,1,0
STU00400,2023,0.9828571428571428,0,75.5,1,0,81.25,1,0,1,0
STU00400,2024,0.894,1,74.25,2,0,74.25,1,1,1,0
STU00400,2025,0.942,0,85.0,0,0,78.75,0,0,0,0
STU00401,2023,0.911,0,64.0,2,1,69.0,1,0,1,1
STU00401,2024,0.89,1,69.5,2,0,69.25,1,1,1,0
STU00401,2025,0.806,1,61.25,4,1,65.25,1,1,1,1
STU00402,2023,0.955,0,66.25,3,1,65.0,1,0,1,1
STU00402,2024,0.892,1,73.75,2,0,73.0,1,1,1,0
STU00402,2025,0.93,0,79.25,0,0,79.25,0,0,0,0
STU00403,2023,0.926,0,76.25,1,0,76.0,1,0,1,0
STU00403,2024,0.964,0,78.25,0,0,78.0,0,0,0,0
STU00403,2025,0.918,0,77.75,0,0,81.0,0,0,0,0
STU00404,2023,0.994,0,79.25,0,0,79.5,0,0,0,0
STU00404,2024,0.947,0,73.25,1,0,67.5,1,0,1,0
STU00404,2025,0.978,0,81.75,0,0,85.0,0,0,0,0
STU00405,2023,0.897,1,60.25,4,2,59.75,1,1,1,1
STU00405,2024,0.933,0,66.5,2,1,66.25,1,0,1,1
STU00405,2025,0.87,1,65.5,3,2,64.75,1,1,1,1
STU00406,2023,0.909,0,69.25,1,1,69.75,1,0,1,1
STU00406,2024,0.966,0,79.0,1,0,76.5,1,0,1,0
STU00406,2025,0.949,0,72.5,1,1,73.25,1,0,1,1
STU00407,2023,0.867,1,66.0,2,2,59.0,1,1,1,1
STU00407,2024,0.958,0,77.0,1,0,77.5,1,0,1,0
STU00407,2025,0.882,1,66.0,3,0,67.25,1,1,1,0
STU00408,2023,0.848,1,63.75,3,0,68.0,1,1,1,0
STU00408,2024,0.8727272727272727,1,78.25,0,0,76.5,1,1,0,0
STU00408,2025,0.941,0,80.75,0,0,81.25,0,0,0,0
STU00409,2023,0.917,0,71.75,1,0,72.0,1,0,1,0
STU00409,2024,0.887,1,60.25,4,2,60.75,1,1,1,1
STU00409,2025,0.933,0,69.0,2,0,71.0,1,0,1,0
STU00410,2023,0.988,0,73.25,1,0,77.66666666666667,1,0,1,0
STU00410,2024,0.926,0,65.25,3,1,65.5,1,0,1,1
STU00410,2025,0.883,1,72.0,0,0,71.25,1,1,0,0
STU00411,2023,0.905,0,65.0,4,0,72.0,1,0,1,0
STU00411,2024,0.904,0,72.0,2,1,68.25,1,0,1,1
STU00411,2025,0.902,0,75.0,1,1,72.75,1,0,1,1
STU00412,2023,0.971,0,73.25,2,0,75.25,1,0,1,0
STU00412,2024,0.922,0,71.5,2,0,68.5,1,0,1,0
STU00412,2025,0.94,0,69.5,3,0,71.25,1,0,1,0
STU00413,2023,1.0,0,85.0,0,0,88.5,0,0,0,0
STU00413,2024,0.955,0,77.5,0,0,76.75,0,0,0,0
STU00413,2025,0.958,0,75.5,1,1,71.75,1,0,1,1
STU00414,2023,0.949,0,70.0,2,0,73.25,1,0,1,0
STU00414,2024,0.925,0,62.0,4,2,61.0,1,0,1,1
STU00414,2025,0.902,0,66.5,3,1,67.0,1,0,1,1
STU00415,2023,0.972,0,77.0,0,0,83.0,0,0,0,0
STU00415,2024,0.966,0,80.25,1,0,79.0,1,0,1,0
STU00415,2025,0.947,0,74.75,1,0,75.5,1,0,1,0
STU00416,2023,0.9310344827586208,0,72.25,1,0,71.75,1,0,1,0
STU00416,2024,0.97,0,79.25,1,0,77.75,1,0,1,0
STU00416,2025,0.916,0,83.5,1,0,87.25,1,0,1,0
STU00417,2023,0.96,0,71.0,2,0,70.75,1,0,1,0
STU00417,2024,0.928,0,82.5,0,0,83.75,0,0,0,0
STU00417,2025,0.948,0,74.0,1,0,69.5,1,0,1,0
STU00418,2023,0.944,0,74.75,1,0,74.5,1,0,1,0
STU00418,2024,0.946,0,71.75,2,1,74.75,1,0,1,1
STU00418,2025,0.961,0,76.75,1,1,71.5,1,0,1,1
STU00419,2023,0.919,0,70.25,2,1,69.25,1,0,1,1
STU00419,2024,0.94,0,73.25,1,0,67.5,1,0,1,0
STU00419,2025,0.907,0,79.0,0,0,77.75,0,0,0,0
STU00420,2023,0.994,0,85.75,0,0,86.5,0,0,0,0
STU00420,2024,0.939,0,76.75,0,0,77.5,0,0,0,0
STU00420,2025,0.988,0,84.0,0,0,79.5,0,0,0,0
STU00421,2023,0.921,0,79.0,1,0,84.0,1,0,1,0
STU00421,2024,0.966,0,78.5,0,0,72.0,0,0,0,0
STU00421,2025,0.944,0,76.0,2,1,73.25,1,0,1,1
STU00422,2023,0.851,1,64.0,4,2,58.75,1,1,1,1
STU00422,2024,0.885,1,67.25,3,0,69.25,1,1,1,0
STU00422,2025,0.994,0,76.5,1,0,77.5,1,0,1,0
STU00423,2023,1.0,0,77.25,0,0,79.0,0,0,0,0
STU00423,2024,0.922,0,80.25,1,0,78.5,1,0,1,0
STU00423,2025,0.927,0,77.75,1,0,78.25,1,0,1,0
STU00424,2023,0.905,0,70.75,2,0,73.25,1,0,1,0
STU00424,2024,0.988,0,80.0,0,0,79.5,0,0,0,0
STU00424,2025,0.931,0,72.75,1,0,69.0,1,0,1,0
STU00425,2023,0.94,0,83.25,0,0,84.75,0,0,0,0
STU00425,2024,0.918,0,66.75,3,1,64.25,1,0,1,1
STU00425,2025,0.878,1,63.75,2,1,66.25,1,1,1,1
STU00426,2023,0.894,1,68.0,3,0,72.75,1,1,1,0
STU00426,2024,0.889,1,69.0,2,2,59.5,1,1,1,1
STU00426,2025,0.92,0,67.5,2,2,64.5,1,0,1,1
STU00427,2023,0.886,1,60.5,4,2,62.75,1,1,1,1
STU00427,2024,0.864,1,56.75,4,2,57.75,1,1,1,1
STU00427,2025,0.915,0,66.75,2,1,67.25,1,0,1,1
STU00428,2023,0.949,0,78.5,0,0,76.25,0,0,0,0
STU00428,2024,0.939,0,84.5,0,0,80.0,0,0,0,0
STU00428,2025,1.0,0,82.25,0,0,80.75,0,0,0,0
STU00429,2023,0.915,0,74.0,2,0,71.75,1,0,1,0
STU00429,2024,0.953,0,67.25,2,1,69.75,1,0,1,1
STU00429,2025,0.901,0,72.75,1,0,75.75,1,0,1,0
STU00430,2023,0.912,0,72.75,1,1,74.25,1,0,1,1
STU00430,2024,0.983,0,81.25,0,0,75.25,0,0,0,0
STU00430,2025,0.983,0,86.0,0,0,85.25,0,0,0,0
STU00431,2023,0.86,1,65.5,3,2,61.75,1,1,1,1
STU00431,2024,0.943,0,63.25,3,1,60.5,1,0,1,1
STU00431,2025,0.898,1,65.5,3,1,61.0,1,1,1,1
STU00432,2023,0.949,0,71.0,2,0,73.0,1,0,1,0
STU00432,2024,0.964,0,92.25,0,0,89.75,0,0,0,0
STU00432,2025,0.904,0,81.0,0,0,83.25,0,0,0,0
STU00433,2023,0.897,1,72.75,2,0,75.5,1,1,1,0
STU00433,2024,0.982,0,75.0,1,0,76.5,1,0,1,0
STU00433,2025,0.897,1,80.0,0,0,78.0,1,1,0,0
STU00434,2023,0.966,0,80.25,0,0,75.0,0,0,0,0
STU00434,2024,1.0,0,77.25,1,1,74.75,1,0,1,1
STU00434,2025,0.959,0,80.0,1,1,77.5,1,0,1,1
STU00435,2023,0.964,0,69.75,3,1,70.0,1,0,1,1
STU00435,2024,0.898,1,73.5,1,0,74.25,1,1,1,0
STU00435,2025,0.875,1,65.25,3,2,62.25,1,1,1,1
STU00436,2023,0.905,0,62.25,3,2,61.75,1,0,1,1
STU00436,2024,0.911,0,67.0,3,2,64.25,1,0,1,1
STU00436,2025,0.899,1,64.5,3,2,61.0,1,1,1,1
STU00437,2023,0.917,0,66.0,3,1,64.5,1,0,1,1
STU00437,2024,0.972,0,71.25,2,0,72.0,1,0,1,0
STU00437,2025,0.921,0,75.75,1,0,79.0,1,0,1,0
STU00438,2023,0.865,1,62.25,4,3,58.75,1,1,1,1
STU00438,2024,0.953,0,76.75,0,0,78.0,0,0,0,0
STU00438,2025,0.964,0,68.5,3,0,70.25,1,0,1,0
STU00439,2023,0.983,0,78.0,1,1,78.25,1,0,1,1
STU00439,2024,0.953,0,76.25,1,0,76.5,1,0,1,0
STU00439,2025,0.978,0,75.5,1,0,74.0,1,0,1,0
STU00440,2023,0.861,1,64.75,2,2,61.5,1,1,1,1
STU00440,2024,0.909,0,70.66666666666667,3,0,70.75,1,0,1,0
STU00440,2025,0.954,0,80.25,0,0,79.5,0,0,0,0
STU00441,2023,0.947,0,79.25,1,0,80.0,1,0,1,0
STU00441,2024,0.926,0,70.66666666666667,3,1,64.25,1,0,1,1
STU00441,2025,0.964,0,73.0,1,1,71.75,1,0,1,1
STU00442,2023,0.923,0,66.25,2,1,64.0,1,0,1,1
STU00442,2024,0.906,0,76.0,0,0,77.5,0,0,0,0
STU00442,2025,0.921,0,74.0,2,0,68.0,1,0,1,0
STU00443,2023,0.917,0,65.75,4,2,60.75,1,0,1,1
STU00443,2024,0.942,0,69.5,2,0,68.75,1,0,1,0
STU00443,2025,0.921,0,76.25,0,0,74.0,0,0,0,0
STU00444,2023,0.898,1,64.5,3,0,63.75,1,1,1,0
STU00444,2024,0.865,1,70.0,1,0,68.75,1,1,1,0
STU00444,2025,0.916,0,69.25,2,0,65.75,1,0,1,0
STU00445,2023,0.948,0,73.0,1,0,72.25,1,0,1,0
STU00445,2024,0.994,0,74.0,1,1,73.75,1,0,1,1
STU00445,2025,0.954,0,71.75,2,1,70.75,1,0,1,1
STU00446,2023,0.97,0,74.75,1,0,73.5,1,0,1,0
STU00446,2024,0.924,0,77.25,1,1,75.0,1,0,1,1
STU00446,2025,0.97,0,81.0,1,0,88.75,1,0,1,0
STU00447,2023,0.909,0,71.25,1,0,73.75,1,0,1,0
STU00447,2024,0.922,0,73.75,0,0,76.5,0,0,0,0
STU00447,2025,1.0,0,86.0,0,0,87.5,0,0,0,0
STU00448,2023,0.989,0,72.0,1,0,76.0,1,0,1,0
STU00448,2024,0.909,0,73.0,1,1,69.75,1,0,1,1
STU00448,2025,0.961,0,75.75,2,0,79.25,1,0,1,0
STU00449,2023,0.964,0,74.25,1,0,73.75,1,0,1,0
STU00449,2024,0.927,0,67.25,3,1,68.25,1,0,1,1
STU00449,2025,0.942,0,83.0,0,0,76.75,0,0,0,0
STU00450,2023,0.892,1,65.5,2,1,70.25,1,1,1,1
STU00450,2024,0.939,0,70.75,1,1,71.75,1,0,1,1
STU00450,2025,0.921,0,74.25,2,0,75.25,1,0,1,0
STU00451,2023,0.941,0,74.25,1,1,79.25,1,0,1,1
STU00451,2024,0.931,0,73.75,1,0,71.25,1,0,1,0
STU00451,2025,0.944,0,80.5,0,0,77.75,0,0,0,0
STU00452,2023,0.982,0,69.75,3,0,72.5,1,0,1,0
STU00452,2024,0.965,0,67.0,3,0,68.5,1,0,1,0
STU00452,2025,0.904,0,71.5,1,0,74.5,1,0,1,0
STU00453,2023,0.881,1,74.75,1,1,73.75,1,1,1,1
STU00453,2024,0.876,1,62.25,3,2,58.75,1,1,1,1
STU00453,2025,0.914,0,73.5,2,0,74.75,1,0,1,0
STU00454,2023,0.936,0,68.5,2,1,67.25,1,0,1,1
STU00454,2024,0.912,0,73.0,1,0,73.25,1,0,1,0
STU00454,2025,0.927,0,81.0,0,0,81.75,0,0,0,0
STU00455,2023,0.888,1,58.75,4,2,60.25,1,1,1,1
STU00455,2024,0.911,0,67.5,2,2,66.75,1,0,1,1
STU00455,2025,0.893,1,70.25,2,1,72.0,1,1,1,1
STU00456,2023,0.97,0,85.0,0,0,90.0,0,0,0,0
STU00456,2024,0.934,0,83.25,1,0,86.25,1,0,1,0
STU00456,2025,0.899,1,74.5,1,0,72.5,1,1,1,0
STU00457,2023,0.972,0,68.75,2,0,70.0,1,0,1,0
STU00457,2024,0.929,0,74.5,2,0,70.25,1,0,1,0
STU00457,2025,0.904,0,71.75,2,1,71.5,1,0,1,1
STU00458,2023,0.838,1,51.5,4,3,51.25,1,1,1,1
STU00458,2024,0.871,1,61.25,3,3,57.75,1,1,1,1
STU00458,2025,,0,58.75,4,3,50.5,1,0,1,1
STU00459,2023,0.848,1,58.75,4,2,57.75,1,1,1,1
STU00459,2024,0.888,1,68.0,3,1,69.66666666666667,1,1,1,1
STU00459,2025,0.888,1,58.25,4,2,57.5,1,1,1,1
STU00460,2023,0.956,0,74.25,1,1,72.0,1,0,1,1
STU00460,2024,0.964,0,70.75,2,1,69.5,1,0,1,1
STU00460,2025,0.861,1,72.25,1,1,66.75,1,1,1,1
STU00461,2023,0.91,0,71.25,3,0,71.75,1,0,1,0
STU00461,2024,0.928,0,72.5,2,1,75.0,1,0,1,1
STU00461,2025,0.972,0,80.5,0,0,80.25,0,0,0,0
STU00462,2023,0.978,0,70.0,3,0,75.0,1,0,1,0
STU00462,2024,0.955,0,83.0,0,0,79.25,0,0,0,0
STU00462,2025,0.9041916167664672,0,75.0,0,0,71.75,0,0,0,0
STU00463,2023,0.92,0,68.0,3,0,70.0,1,0,1,0
STU00463,2024,0.872,1,73.25,0,0,69.25,1,1,0,0
STU00463,2025,0.978,0,82.5,0,0,78.25,0,0,0,0
STU00464,2023,0.924,0,76.0,2,1,74.75,1,0,1,1
STU00464,2024,0.982,0,76.0,1,1,71.0,1,0,1,1
STU00464,2025,0.874,1,71.0,2,1,70.25,1,1,1,1
STU00465,2023,0.977,0,82.0,0,0,79.0,0,0,0,0
STU00465,2024,0.934,0,78.5,0,0,73.75,0,0,0,0
STU00465,2025,0.947,0,75.25,2,0,70.75,1,0,1,0
STU00466,2023,0.947,0,78.25,1,0,78.75,1,0,1,0
STU00466,2024,0.938,0,64.5,2,0,68.25,1,0,1,0
STU00466,2025,0.893,1,59.25,3,2,62.25,1,1,1,1
STU00467,2023,0.933,0,62.75,3,1,62.75,1,0,1,1
STU00467,2024,0.976,0,68.5,2,0,71.5,1,0,1,0
STU00467,2025,0.872,1,65.0,3,2,60.0,1,1,1,1
STU00468,2023,0.892,1,74.5,1,0,72.75,1,1,1,0
STU00468,2024,0.915,0,74.75,0,0,75.0,0,0,0,0
STU00468,2025,0.919,0,70.5,1,0,71.75,1,0,1,0
STU00469,2023,0.947,0,74.75,2,0,75.75,1,0,1,0
STU00469,2024,0.888,1,65.5,3,1,61.0,1,1,1,1
STU00469,2025,0.901,0,70.25,1,1,69.75,1,0,1,1
STU00470,2023,0.95,0,71.0,2,0,73.5,1,0,1,0
STU00470,2024,0.876,1,68.5,2,2,65.5,1,1,1,1
STU00470,2025,0.929,0,76.75,0,0,75.25,0,0,0,0
STU00471,2023,0.956,0,80.75,0,0,80.75,0,0,0,0
STU00471,2024,0.972,0,73.5,1,0,74.25,1,0,1,0
STU00471,2025,0.91,0,72.75,1,0,77.0,1,0,1,0
STU00472,2023,0.917,0,72.75,2,0,78.25,1,0,1,0
STU00472,2024,0.86,1,59.75,4,3,59.5,1,1,1,1
STU00472,2025,0.876,1,60.0,3,2,61.0,1,1,1,1
STU00473,2023,0.935,0,62.5,3,2,57.333333333333336,1,0,1,1
STU00473,2024,0.892,1,64.0,2,2,62.0,1,1,1,1
STU00473,2025,0.884,1,76.0,1,0,76.5,1,1,1,0
STU00474,2023,0.952,0,76.0,1,0,76.5,1,0,1,0
STU00474,2024,0.944,0,78.5,0,0,78.75,0,0,0,0
STU00474,2025,0.921,0,79.75,0,0,75.75,0,0,0,0
STU00475,2023,0.921,0,62.25,3,1,60.0,1,0,1,1
STU00475,2024,0.911,0,74.25,1,0,78.5,1,0,1,0
STU00475,2025,1.0,0,66.5,2,1,70.0,1,0,1,1
STU00476,2023,0.933,0,74.75,1,0,71.75,1,0,1,0
STU00476,2024,0.929,0,73.75,1,0,75.0,1,0,1,0
STU00476,2025,0.983,0,74.75,1,1,75.0,1,0,1,1
STU00477,2023,0.954,0,76.5,0,0,75.0,0,0,0,0
STU00477,2024,0.878,1,80.0,0,0,80.75,1,1,0,0
STU00477,2025,0.889,1,66.0,3,0,64.75,1,1,1,0
STU00478,2023,0.915,0,60.75,3,2,57.5,1,0,1,1
STU00478,2024,0.943,0,70.25,1,0,74.75,1,0,1,0
STU00478,2025,0.95,0,69.0,3,1,64.75,1,0,1,1
STU00479,2023,0.942,0,68.5,3,1,67.75,1,0,1,1
STU00479,2024,0.857,1,68.0,1,1,69.0,1,1,1,1
STU00479,2025,0.884,1,62.25,4,1,61.0,1,1,1,1
STU00480,2023,0.911,0,69.25,2,1,66.75,1,0,1,1
STU00480,2024,0.949,0,71.5,1,0,72.25,1,0,1,0
STU00480,2025,0.906,0,63.75,3,1,63.5,1,0,1,1
STU00481,2023,0.933,0,84.25,0,0,85.75,0,0,0,0
STU00481,2024,0.982,0,81.0,0,0,81.0,0,0,0,0
STU00481,2025,0.937,0,74.5,2,0,76.25,1,0,1,0
STU00482,2023,0.941,0,79.0,1,0,78.0,1,0,1,0
STU00482,2024,1.0,0,93.25,0,0,94.0,0,0,0,0
STU00482,2025,0.927,0,77.0,1,2,71.25,1,0,1,1
STU00483,2023,0.926,0,76.0,1,0,77.25,1,0,1,0
STU00483,2024,0.913,0,65.25,2,2,67.5,1,0,1,1
STU00483,2025,0.948,0,77.5,0,0,71.0,0,0,0,0
STU00484,2023,0.941,0,69.5,2,0,70.0,1,0,1,0
STU00484,2024,0.917,0,70.5,3,2,65.25,1,0,1,1
STU00484,2025,0.913,0,70.0,1,0,72.75,1,0,1,0
STU00485,2023,0.94,0,72.75,1,1,67.66666666666667,1,0,1,1
STU00485,2024,0.935,0,74.75,2,1,74.5,1,0,1,1
STU00485,2025,0.9269662921348316,0,72.5,1,0,72.75,1,0,1,0
STU00486,2023,0.912,0,70.5,2,0,76.75,1,0,1,0
STU00486,2024,0.915,0,67.25,3,0,68.0,1,0,1,0
STU00486,2025,0.933,0,69.0,1,1,67.75,1,0,1,1
STU00487,2023,0.97,0,68.25,2,2,63.75,1,0,1,1
STU00487,2024,0.87,1,82.5,0,0,82.25,1,1,0,0
STU00487,2025,0.96,0,81.5,1,0,80.75,1,0,1,0
STU00488,2023,0.931,0,76.25,0,0,78.75,0,0,0,0
STU00488,2024,0.904,0,71.75,1,1,63.75,1,0,1,1
STU00488,2025,0.982,0,78.75,0,0,77.5,0,0,0,0
STU00489,2023,0.988,0,80.0,0,0,82.0,0,0,0,0
STU00489,2024,1.0,0,90.25,0,0,91.25,0,0,0,0
STU00489,2025,0.883,1,74.75,1,0,71.75,1,1,1,0
STU00490,2023,0.877,1,65.25,1,1,68.5,1,1,1,1
STU00490,2024,0.964,0,76.0,1,0,76.0,1,0,1,0
STU00490,2025,0.928,0,74.75,1,0,70.75,1,0,1,0
STU00491,2023,0.911,0,69.75,2,2,65.75,1,0,1,1
STU00491,2024,0.867,1,68.5,2,0,67.75,1,1,1,0
STU00491,2025,0.876,1,66.0,3,0,67.25,1,1,1,0
STU00492,2023,1.0,0,84.75,0,0,80.75,0,0,0,0
STU00492,2024,0.96,0,87.0,0,0,85.75,0,0,0,0
STU00492,2025,0.888,1,86.0,0,0,93.25,1,1,0,0
STU00493,2023,0.966,0,76.0,0,0,78.75,0,0,0,0
STU00493,2024,0.893,1,64.0,3,1,60.5,1,1,1,1
STU00493,2025,0.873,1,76.25,1,0,77.25,1,1,1,0
STU00494,2023,0.914,0,70.0,1,0,72.25,1,0,1,0
STU00494,2024,0.941,0,75.75,0,0,69.5,0,0,0,0
STU00494,2025,0.958,0,84.5,0,0,82.0,0,0,0,0
STU00495,2023,0.928,0,76.75,0,0,74.75,0,0,0,0
STU00495,2024,0.876,1,72.75,1,0,70.5,1,1,1,0
STU00495,2025,0.943,0,78.75,1,0,77.75,1,0,1,0
STU00496,2023,0.878,1,66.5,3,1,64.75,1,1,1,1
STU00496,2024,0.919,0,65.5,3,1,66.75,1,0,1,1
STU00496,2025,0.916,0,72.5,1,0,72.5,1,0,1,0
STU00497,2023,1.0,0,77.75,1,0,79.75,1,0,1,0
STU00497,2024,0.922,0,75.25,1,1,72.0,1,0,1,1
STU00497,2025,1.0,0,83.5,0,0,82.75,0,0,0,0
STU00498,2023,0.946,0,68.75,2,0,68.0,1,0,1,0
STU00498,2024,0.971,0,68.75,2,0,71.75,1,0,1,0
STU00498,2025,0.954,0,71.0,2,1,67.25,1,0,1,1
STU00499,2023,0.988,0,85.25,0,0,82.25,0,0,0,0
STU00499,2024,1.0,0,84.25,0,0,81.25,0,0,0,0
STU00499,2025,0.959,0,80.66666666666667,1,0,84.25,1,0,1,0
STU00500,2023,0.96,0,76.5,1,0,79.5,1,0,1,0
STU00500,2024,0.922,0,74.0,2,0,74.0,1,0,1,0
STU00500,2025,0.971,0,83.5,0,0,84.0,0,0,0,0
STU00501,2023,0.93,0,77.0,1,0,75.75,1,0,1,0
STU00501,2024,0.983,0,77.25,2,0,78.5,1,0,1,0
STU00501,2025,0.923,0,73.5,2,2,67.75,1,0,1,1
STU00502,2023,0.96,0,73.0,0,0,71.75,0,0,0,0
STU00502,2024,0.93,0,71.5,3,0,74.75,1,0,1,0
STU00502,2025,0.94,0,75.75,0,0,76.75,0,0,0,0
STU00503,2023,0.903,0,74.75,2,0,71.5,1,0,1,0
STU00503,2024,0.946,0,77.0,1,1,75.0,1,0,1,1
STU00503,2025,0.867,1,76.5,1,0,76.5,1,1,1,0
STU00504,2023,0.881,1,71.25,2,1,71.25,1,1,1,1
STU00504,2024,0.88,1,67.25,2,1,68.5,1,1,1,1
STU00504,2025,0.932,0,74.75,1,0,72.5,1,0,1,0
STU00505,2023,0.897,1,58.0,3,3,55.75,1,1,1,1
STU00505,2024,0.881,1,67.75,3,0,70.75,1,1,1,0
STU00505,2025,0.92,0,69.75,2,0,68.0,1,0,1,0
STU00506,2023,0.931,0,53.0,4,3,52.75,1,0,1,1
STU00506,2024,0.938,0,64.5,4,1,62.25,1,0,1,1
STU00506,2025,0.84,1,51.0,4,4,47.75,1,1,1,1
STU00507,2023,0.855,1,58.25,4,2,55.5,1,1,1,1
STU00507,2024,0.855,1,58.5,4,2,63.25,1,1,1,1
STU00507,2025,0.846,1,60.0,3,3,57.0,1,1,1,1
STU00508,2023,1.0,0,76.75,0,0,78.5,0,0,0,0
STU00508,2024,0.9257142857142856,0,68.5,2,0,69.25,1,0,1,0
STU00508,2025,0.893,1,70.66666666666667,2,1,60.0,1,1,1,1
STU00509,2023,1.0,0,85.5,0,0,84.75,0,0,0,0
STU00509,2024,0.983,0,73.0,2,0,69.25,1,0,1,0
STU00509,2025,1.0,0,82.25,1,0,81.25,1,0,1,0
STU00510,2023,0.902,0,60.0,3,2,60.0,1,0,1,1
STU00510,2024,0.971,0,71.5,1,0,77.75,1,0,1,0
STU00510,2025,0.832,1,64.5,4,0,66.0,1,1,1,0
STU00511,2023,0.953,0,79.75,1,1,76.25,1,0,1,1
STU00511,2024,0.971,0,78.5,0,0,82.0,0,0,0,0
STU00511,2025,0.953,0,73.0,2,1,73.75,1,0,1,1
STU00512,2023,0.954,0,70.25,2,0,70.75,1,0,1,0
STU00512,2024,0.953,0,73.0,1,0,72.5,1,0,1,0
STU00512,2025,0.965,0,83.0,0,0,82.25,0,0,0,0
STU00513,2023,0.982,0,69.75,2,1,65.25,1,0,1,1
STU00513,2024,0.927,0,77.0,1,0,78.5,1,0,1,0
STU00513,2025,0.971,0,66.75,4,1,63.25,1,0,1,1
STU00514,2023,0.938,0,65.75,2,2,64.5,1,0,1,1
STU00514,2024,0.912,0,64.5,3,2,62.25,1,0,1,1
STU00514,2025,0.918,0,65.5,2,1,69.0,1,0,1,1
STU00515,2023,0.908,0,63.5,2,2,64.25,1,0,1,1
STU00515,2024,0.881,1,65.0,3,1,67.5,1,1,1,1
STU00515,2025,0.947,0,71.75,2,0,74.0,1,0,1,0
STU00516,2023,0.852,1,58.25,4,2,56.25,1,1,1,1
STU00516,2024,0.898,1,64.75,3,1,69.25,1,1,1,1
STU00516,2025,0.923,0,72.5,1,0,76.0,1,0,1,0
STU00517,2023,0.917,0,64.75,3,1,64.75,1,0,1,1
STU00517,2024,0.964,0,64.25,2,2,59.25,1,0,1,1
STU00517,2025,0.955,0,69.5,2,1,69.5,1,0,1,1
STU00518,2023,0.96,0,86.25,0,0,82.0,0,0,0,0
STU00518,2024,0.946,0,77.5,1,1,71.5,1,0,1,1
STU00518,2025,0.927,0,81.25,0,0,84.5,0,0,0,0
STU00519,2023,0.971,0,78.75,1,0,80.0,1,0,1,0
STU00519,2024,0.911,0,76.75,0,0,78.75,0,0,0,0
STU00519,2025,0.971,0,86.25,0,0,87.5,0,0,0,0
STU00520,2023,0.905,0,78.75,1,0,82.75,1,0,1,0
STU00520,2024,0.927,0,68.0,2,1,68.75,1,0,1,1
STU00520,2025,0.888,1,66.0,2,2,62.5,1,1,1,1
STU00521,2023,0.943,0,74.75,1,0,76.25,1,0,1,0
STU00521,2024,0.929,0,80.5,0,0,81.5,0,0,0,0
